section_number,section_type,title,content,word_count,category
3.16,subsection,Section 3.16: Rules on Attendance,"Attendance Requirements: - Minimum 80% attendance in all subjects required - 3 tardiness equals 1 absence - Absences exceeding 20% result in automatic failure - Medical absences require doctor's certificate - Excused absences: family emergency, medical reasons",37,Policies
3.17,subsection,Section 3.17: Dean's Honors List,Requirements for Dean's List: - Minimum GPA of 1.75 with no grade below 2.0 - Enrolled in at least 15 units - No disciplinary record during the semester - No incomplete grades,32,General
3.18,subsection,"Section 3.18: Graduation, Academic Honors and Awards",### Graduation Requirements: - Complete all required courses in curriculum - Minimum cumulative GPA of 2.0 - Complete 120 hours of community service - Pass comprehensive examination (if required) - Settle all financial and property obligations ### Academic Honors: - Summa Cum Laude: GPA 1.20-1.00 - Magna Cum Laude: GPA 1.45-1.21 - Cum Laude: GPA 1.75-1.46,56,Academic
Section 3,subsection,Section 3.19: Institute of General Education,"Provides foundational courses: - English Communication - Mathematics and Natural Sciences - Social Sciences and Philosophy - Physical Education and Health - All students must complete GE requirements School Logo, Colors and Motto Vision, Mission and Dynamic Filipinism NU Core Values NU Graduate Attributes Intended for Nationalians (NU GAINs) Quality Policy Data Privacy Policy",54,General
1.1,subsection,Section 1.1: General Norms,Students must maintain the highest standards of academic integrity and conduct themselves according to university policies and procedures.,18,General
1.2,subsection,Section 1.2: Rules of Conduct,"All students are expected to: - Respect faculty, staff, and fellow students - Follow university policies and procedures - Maintain academic honesty - Participate actively in learning activities - Take responsibility for their academic progress",35,Student Life
1.3,subsection,Section 1.3: Academic Integrity,"Academic dishonesty includes: - Cheating during examinations - Plagiarism in written assignments - Falsification of documents - Unauthorized collaboration Violations result in failing grades, suspension, or dismissal.",27,Academic
1.4,subsection,Section 1.4: Student ID,All students must carry their official student identification card at all times on campus. Lost IDs must be replaced immediately through the registrar's office for a fee of ₱500.,29,Student Life
1.5,subsection,Section 1.5: Uniform Policy,Students must wear prescribed uniforms: - Collared shirts or blouses (white or navy blue) - Appropriate pants or skirts (knee-length minimum) - Closed shoes (no slippers or sandals) - Laboratory classes require closed shoes and long pants,37,Policies
Section 1,subsection,Section 1.6: Suspension of Classes,Classes are suspended during: - Typhoons and severe weather conditions - National holidays - Emergency situations Official announcements are made through NUIS and university website.,25,General
2.1,subsection,Section 2.1: Required Documents for Admission,### For Freshman Students: - High School Report Card (Form 138) - original copy - Certificate of Good Moral Character - Birth Certificate (NSO/PSA issued) - Medical Certificate from licensed physician - Two (2) recent 2x2 ID pictures - Entrance examination results (if applicable) ### For Transfer Students: - Certificate of Transfer Credential/Honorable Dismissal - Official Transcript of Records - Certificate of Good Moral Character - Birth Certificate (NSO/PSA issued) - Medical Certificate,73,Admissions
Section 2,subsection,Section 2.2: General Admission Guidelines,### Academic Requirements: - Minimum GPA of 2.5 for regular admission - Minimum GPA of 2.0 for conditional admission - GPA of 1.75 or higher for scholarship consideration - Passing score on entrance examination (if required) ### Application Process: 1. Submit complete admission requirements 2. Take entrance examination (if applicable) 3. Attend admission interview 4. Await admission decision 5. Confirm enrollment and pay required fees,65,Admissions
3.1,subsection,Section 3.1: Student Classification,- Regular Student: Enrolled in minimum 15 units per semester - Irregular Student: Enrolled in less than 15 units - Special Student: Non-degree seeking - Graduate Student: Enrolled in master's or doctoral program,33,Student Life
3.2,subsection,Section 3.2: Submission of Academic Credentials,All academic records must be submitted within 30 days of enrollment. Failure to comply results in non-issuance of grades and certificates.,21,Academic
3.3,subsection,Section 3.3: Registration and Enrollment,"Registration periods: - Advance registration: May for 1st semester, November for 2nd semester - Regular registration: June for 1st semester, January for 2nd semester - Late registration: Additional fees apply after regular period",33,Admissions
3.4,subsection,Section 3.4: Cross Enrollment,Students may enroll in other institutions with: - Prior approval from Academic Dean - Signed cross-enrollment agreement - Courses must be equivalent to NU curriculum,25,Admissions
3.5,subsection,Section 3.5: Grading System,"NU uses a grade point system with the following marks: - 4.0: Excellent (96–100%) - 3.5: Very Good (90–95%) - 3.0: Good (84–89%) - 2.5: Above Satisfactory (78–83%) - 2.0: Satisfactory (72–77%) - 1.5: Fair (66–71%) - 1.0: Pass (60–65%) - R: <60 (Repeat; not included in GWA) - 0.0: Failed - Dr: Officially Dropped - Inc: Incomplete - P/F: Pass/Fail used only for bridging and intervention courses (P ≥ 60; F < 60). Note: A 0.0 due to absences or academic dishonesty is carried over from midterm to final and cannot be changed to Dr after the midterm deadline.",92,Academic
3.6,subsection,Section 3.6: Crediting and Evaluation,Transfer credits are evaluated by the Office of the Registrar based on: - Course content equivalency - Number of units - Grade received (minimum 2.0) - Accreditation status of previous institution,31,General
3.7,subsection,Section 3.7: Academic Load,### Regular Semester: - Minimum: 15 units - Normal: 18-21 units - Maximum: 24 units (with Dean's approval) ### Summer Term: - Maximum: 12 units - Remedial courses only - No overload permitted,33,Academic
